Ciudad,anio,NCB,ASB,VSP,SP,NHB,ACB,AIC,SB,SA,FB,DP,LPE,TI,AES,Op,IPS
Barranquilla,2011,69.3599610244,88.4230569698,51.2517526821,70.573012712,69.9019458471,82.3352063586,30.1785896565,79.2346332092,54.7222699911,61.6176748038,33.6035340993,78.1731659436,31.562986647,30.5076512909,43.4618344952,58.3271517154
Bogotá,2011,78.8785622458,84.0994761038,77.7267621213,67.8195562599,77.1310891827,87.1594809304,67.9421862836,71.6815441465,66.8429908837,73.406550561,35.4690950969,63.3100791972,17.2781020069,63.3827093001,44.8599964003,65.1325453813
Bucaramanga,2011,77.0036887497,81.8974884592,60.7469424433,52.0693831344,67.9293756966,84.8697768739,70.5991761262,65.1671802749,68.9976181792,72.4084378635,48.1284746847,34.9250992911,52.5383051585,73.9540323586,52.3864778732,64.2414304778
Cali,2011,69.5367912623,83.4722236683,65.2992134778,23.0226447254,60.3327182835,66.3533866232,45.8256136509,55.0922667947,74.0001037264,60.3178426988,20.5449480537,48.644004672,15.9881992964,32.4838438484,29.4152489676,50.02193665
Cartagena,2011,69.67301523,85.5993062513,40.3366906445,66.8986481409,65.6269150667,67.9473412373,42.1122020913,88.9402771053,35.5895404633,58.6473402243,12.665581669,26.3467188245,31.0539859109,27.8919517673,24.4895595429,49.587938278
Ibagué,2011,72.8994480412,78.0957251114,57.2845279885,39.8104083936,62.0225273837,65.1634592736,50.8505865483,47.1227946971,63.063943886,56.5501961012,55.4384829973,28.0017313184,29.6667659436,34.0336474539,36.7851569283,51.7859601377
Manizales,2011,65.8021509135,98.0114518519,90.9445846591,48.6284738951,75.8466653299,79.1298328962,68.5601684735,25.890379948,71.5147619304,61.273785812,43.733361314,61.0376611016,72.1036826033,59.9339362179,59.2021603092,65.4408704837
Medellín,2011,73.9926681251,97.2718423131,88.2849458803,28.9976115906,72.1367669772,83.445420762,60.2358985444,43.9186172123,69.4878734712,64.2719524975,56.0304943756,65.732699525,46.6172933666,52.7280218081,55.2771272688,63.8952822478
Pereira,2011,71.182423187,95.3963286484,80.8866736946,40.3902876781,71.963928302,78.6975240174,54.4697370856,36.7435986259,80.1641391586,62.5187497219,57.8691353425,65.3105574421,53.0938667483,44.3577998476,55.1578398451,63.2135059563
Valledupar,2011,63.3180305345,83.9926317031,53.0894427819,42.5087213755,60.7272065987,48.9694099207,33.1110090096,68.5195741671,66.44483009,54.2612057968,46.878321525,33.0612652878,48.6852174557,20.9495713764,37.3935939112,50.7940021023
Barranquilla,2012,68.0284394483,92.5844789874,58.366739297,67.0045125765,71.4960425773,75.8072056997,45.6123323522,53.8831657911,60.2480699733,58.8876934541,34.2325462406,61.3856566402,33.4400969711,33.7398733639,40.699543304,57.0277597784
Bogotá,2012,78.6633927538,82.1367328027,78.6022412108,70.5885971109,77.4977409695,88.5307490615,75.4213767209,80.6160516753,79.962012718,81.1325475439,36.7735711626,66.6718904818,10.2734588265,63.3990569274,44.2794943496,67.6365942877
Bucaramanga,2012,73.6559833764,92.5001017808,67.4605230016,47.3202151311,70.2342058225,83.4453563164,79.680668728,44.8219752176,79.9368246325,71.9712062236,45.1936565261,32.5584956035,61.833125953,80.3363284322,54.9804016287,65.7286045583
Cali,2012,65.6222397375,83.2377059411,63.2085599306,21.734206193,58.4506779505,63.3749683489,59.1431027495,42.0434228155,74.9266859944,59.8720449771,18.8746153268,48.5835987207,12.6342274289,33.9788891663,28.5178326607,48.9468518628
